model_name,in_steps,out_steps,total_epochs,total_time_seconds,total_time_minutes,avg_time_per_epoch,best_val_loss,best_val_loss_epoch,best_val_mae,best_val_mae_epoch,test_mse,test_mae
tri_stream_gating_305_24h_48h.keras,24,48,16,74.64039349555969,1.2440065582593285,4.665024593472481,0.0118506038561463,1,0.0605596266686916,1,0.0381518119236735,0.1105299898984186
tri_stream_gating_305_24h_48h.keras,24,48,20,89.66754150390625,1.4944590250651042,4.483377075195312,0.0131136961281299,5,0.0681320652365684,5,0.0084439361775477,0.0454270394968346
tri_stream_gating_309_24h_48h.keras,24,48,25,210.9306604862213,3.5155110081036884,8.437226419448853,0.017398627474904,10,0.0699381455779075,10,0.0602863743420529,0.1442673256070608
tri_stream_gating_309_24h_48h.keras,24,48,10,96.149897813797,1.6024982968966166,9.6149897813797,0.017903110012412,5,0.0731513947248458,5,0.0630528478220742,0.1506292818314248
tri_stream_gating_309_24h_48h.keras,24,48,25,225.89116072654724,3.764852678775787,9.03564642906189,0.0158358979970216,10,0.0660310685634613,10,0.0611094090836301,0.1452073063668063
tri_stream_gating_239_24h_48h.keras,24,48,27,255.9160039424896,4.265266732374827,9.478370516388503,0.0076597165316343,12,0.0401834696531295,16,0.0112132620697185,0.0638311594725225
Ptri_stream_gating_239_24h_48h.keras,24,48,27,241.82126903533936,4.030354483922323,8.95634329760516,0.0077631212770938,12,0.0411873683333396,12,0.0124971105888239,0.0675988041263498
tri_stream_gating_346_24h_48h.keras,24,48,47,423.3356342315674,7.055593903859457,9.007141153863136,0.0064216894097626,32,0.0480314567685127,32,0.0014934494368633,0.0230999414635283
tri_stream_gating_346_11h_48h.keras,11,48,79,403.04694080352783,6.71744901339213,5.101860010171238,0.0058232578448951,64,0.0431526079773902,64,0.0014071721516957,0.0223721999426632
tri_stream_gating_309_11h_48h.keras,11,48,24,152.11089658737183,2.5351816097895306,6.337954024473826,0.0166656263172626,9,0.0682812631130218,9,0.06043520402808,0.1449699577706833
tri_stream_gating_305_11h_48h.keras,11,48,17,49.51594090461731,0.8252656817436218,2.9127024061539597,0.0121948672458529,2,0.0668971315026283,4,0.009701641022645,0.0546297939149443
tri_stream_gating_239_11h_48h.keras,11,48,23,122.64200687408447,2.0440334479014077,5.332261168438455,0.00799516774713993,8,0.04175466671586037,21,0.01358698768633386,0.07169698101107304
