model_name,in_steps,out_steps,total_epochs,total_time_seconds,total_time_minutes,avg_time_per_epoch,best_val_loss,best_val_loss_epoch,best_val_mae,best_val_mae_epoch,test_mse,test_mae
dual_stream_lstm_cnn_346_24h_48h.keras,24,48,33,330.76720690727234,5.512786781787872,10.023248694159768,0.0072581549175083,18,0.0514990240335464,14,0.0030309466777333,0.0266355137302714
dual_stream_lstm_cnn_346_11h_48h.keras,11,48,36,187.78975534439087,3.129829255739848,5.216382092899746,0.0075346985831856,21,0.0535560026764869,24,0.0028911657915855,0.0272009597101181
dual_stream_lstm_cnn_239_11h_48h.keras,11,48,21,118.4695737361908,1.97449289560318,5.641408273151943,0.0201733522117137,6,0.0714527815580368,9,0.0131750425591782,0.0698911160177591
dual_stream_lstm_cnn_239_24h_48h.keras,24,48,18,272.1472241878509,4.535787069797516,15.119290232658386,0.0192201491445302,3,0.070547230541706,16,0.0130976915002619,0.0712191657073803
dual_stream_lstm_cnn_309_24h_48h.keras,24,48,25,405.7465331554413,6.762442219257355,16.22986132621765,0.0162941236048936,10,0.0675539895892143,10,0.0623823672985404,0.1465200505629882
dual_stream_lstm_cnn_309_11h_48h.keras,11,48,24,109.88251042366028,1.831375173727672,4.578437934319179,0.0161944814026355,9,0.0674623399972915,9,0.0603882961156928,0.1437516648611426
dual_stream_lstm_cnn_239_24h_24h.keras,24,24,18,201.0068039894104,3.350113399823506,11.167044666078356,0.0168948005884885,3,0.0658854618668556,8,0.0108177387723918,0.0654203362061335
Nuevodual_stream_lstm_cnn_346_24h_48h.keras,24,48,33,310.35099601745605,5.172516600290934,9.404575636892607,0.0063108038157224,18,0.0472924634814262,18,0.0033155507782291,0.0275029569268412
Nuevodual_stream_lstm_cnn_346_24h_48h.keras,24,48,31,272.56298065185547,4.542716344197591,8.792354214575983,0.0072518237866461,16,0.0506174862384796,16,0.0028171945969794,0.0241721482600467
Nuevodual_stream_lstm_cnn_309_24h_48h.keras,24,48,18,156.4366946220398,2.607278243700663,8.69092747900221,0.0155571810901165,3,0.0661735460162162,10,0.0566059798157765,0.1416583495207247
Nuevodual_stream_lstm_cnn_239_24h_48h.keras,24,48,17,147.49058055877686,2.458176342646281,8.675916503457461,0.0180964227765798,2,0.0699617117643356,4,0.0110097632589426,0.0669228334414319
Nuevo2dual_stream_lstm_cnn_239_24h_48h.keras,24,48,18,156.05424642562866,2.600904107093811,8.66968035697937,0.0186274051666259,3,0.0707250088453292,6,0.0118426771453465,0.0687091995568996
Nuevo2dual_stream_lstm_cnn_239_24h_48h.keras,24,48,17,141.56272101402283,2.359378683567047,8.327218883177814,0.0191838238388299,2,0.0706823319196701,15,0.0118232266859893,0.0686678315534604
Nuevo2dual_stream_lstm_cnn_239_24h_48h.keras,24,48,18,171.90309977531433,2.8650516629219056,9.550172209739683,0.0191416088491678,3,0.070930540561676,17,0.0120179699196804,0.0694188134627223
Nuevo2dual_stream_lstm_cnn_346_24h_48h.keras,24,48,55,515.0878214836121,8.584797024726868,9.365233117883855,0.0060143126174807,40,0.0453788079321384,40,0.0027881862797352,0.0255544811990613
Nuevodual_stream_lstm_cnn_346_24h_48h.keras,24,48,41,405.2246305942536,6.753743843237559,9.883527575469598,0.0071084243245422,26,0.0503991171717643,26,0.0028404476608698,0.0257690835321647
Nuevodual_stream_lstm_cnn_346_11h_48h.keras,11,48,68,390.9192533493042,6.51532088915507,5.748812549254474,0.006769704632461,53,0.0492863692343235,53,0.002631744592967,0.0254437359273926
Nuevodual_stream_lstm_cnn_239_11h_48h.keras,11,48,19,106.00213408470154,1.7667022347450256,5.579059688668502,0.0202289503067731,4,0.0707550942897796,18,0.0140713824356781,0.0730168755375569
Nuevodual_stream_lstm_cnn_239_24h_48h.keras,24,48,19,185.23853588104248,3.087308931350708,9.749396625318026,0.0196964275091886,4,0.0729570984840393,19,0.0122314911605777,0.0692974578274704
Nuevodual_stream_lstm_cnn_309_24h_48h.keras,24,48,29,317.7777364253998,5.296295607089997,10.9578529801862,0.0155707038938999,14,0.066385343670845,14,0.064533957908836,0.1506309875198093
Nuevodual_stream_lstm_cnn_309_11h_48h.keras,11,48,19,125.86477017402648,2.097746169567108,6.624461588106658,0.017824325710535,4,0.0713355913758277,8,0.0605680599359018,0.1466215744409489
Nuevodual_stream_lstm_cnn_309_11h_48h.keras,11,48,20,129.30097103118896,2.1550161838531494,6.465048551559448,0.0169609952718019,5,0.0697452798485755,5,0.0604516765514826,0.1457176996867346
Nuevodual_stream_lstm_cnn_305_11h_48h.keras,11,48,65,214.0702133178711,3.567836888631185,3.293387897198017,0.0139528475701808,50,0.0676009133458137,61,0.0523096070263946,0.1237118228857732
Nuevodual_stream_lstm_cnn_305_24h_48h.keras,24,48,53,250.13102412223816,4.168850402037303,4.719453285325248,0.013451300561428,38,0.0643279328942298,42,0.0434179747908486,0.1127223105629833
Finaldual_stream_lstm_cnn_305_24h_48h.keras,24,48,46,236.1753830909729,3.936256384849549,5.134247458499411,0.01404092554003,31,0.0676252692937851,40,0.0408746747588817,0.1133997806025482
Finaldual_stream_lstm_cnn_305_24h_48h.keras,24,48,43,233.2269461154937,3.887115768591563,5.423882467802181,0.0139939486980438,28,0.0693214237689971,32,0.0279964016016771,0.0969233074713334
tri_stream_gating_305_24h_48h.keras,24,48,28,120.75108289718628,2.012518048286438,4.31253867489951,0.0312170647084712,13,0.079953484237194,24,0.0546664074502455,0.1201084695169969
